dA 81,dA 147,ddA 50,label
-0.001595,0.00149,-0.002441,1
-0.00107,0.002603,-0.000884,1
-0.003088,0.001686,-0.001754,1
0.004864,0.002756,-0.001108,1
0.000672,0.001856,0.00024,1
-0.000918,0.002574,-0.000926,1
0.008705,0.001191,-0.000703,1
0.003918,0.00249,-0.001252,1
-0.001942,0.001877,-0.00133,1
-0.002389,0.002183,-0.001532,1
-0.001958,0.001766,-0.003036,1
-0.00174,0.001074,-0.000137,1
-0.001381,0.001727,-0.001219,1
-0.001339,0.002429,-0.001661,1
0.00799,0.003001,0.000872,1
-0.002947,0.001157,-0.002925,0
-0.003805,0.000828,-0.002623,0
-0.001738,0.001347,-0.001873,1
0.003797,0.001699,-0.002813,1
-0.004385,0.00131,-0.00182,1
-0.001849,0.001329,-0.001982,0
-0.004394,0.000905,-0.001356,1
0.006817,0.0018,-0.001613,1
0.007256,0.00141,-0.001953,1
0.009275,0.001827,0.001252,1
0.003583,0.003861,-0.000689,1
0.004804,0.002949,-0.001219,1
0.003852,0.002174,-0.002307,1
-0.000901,0.001174,-0.001407,1
-0.001694,0.001883,-0.002228,1
-0.002195,0.001152,-0.00171,1
-0.001087,0.002117,-0.000955,1
-0.000284,0.003329,-0.000657,1
-0.001714,0.000942,0.000542,1
-0.002625,0.001435,-0.002315,0
-0.00307,0.001778,-0.002367,0
-0.002828,0.001113,-0.002987,0
-0.001497,0.002111,-0.002494,0
-0.001497,0.002111,-0.002494,1
-0.002125,0.00125,-0.001221,1
-0.002061,0.000915,-0.001978,1
-0.003208,0.000669,-0.002889,1
0.002532,0.003648,0.000351,1
-0.002738,0.000657,-0.001828,0
0.004926,0.003834,0.000371,1
-0.000668,0.000671,-0.001531,1
-0.001474,0.001401,-0.002663,1
0.008191,0.003159,0.000976,1
-0.003104,0.000188,-0.002116,1
-0.001922,0.000482,-0.002563,1
-0.000964,0.000892,-0.001985,1
0.000978,0.000728,-0.001559,1
0.000074,0.001957,-0.000613,1
-0.001657,0.001821,-0.003686,1
-0.00151,0.001765,-0.001345,1
0.000527,0.00213,-0.000991,1
-0.00257,0.00193,-0.002453,1
-0.004506,0.001919,-0.001414,1
-0.002892,0.002426,-0.000421,1
0.006326,0.002367,0.00112,1
0.000397,0.0024,-0.000683,1
0.003591,0.002078,-0.000696,1
0.005215,0.002289,0.000547,1
0.005108,0.001462,-0.000031,1
0.003027,0.003395,0.00009,1
0.003027,0.003395,0.00009,1
0.00878,0.002568,-0.000759,1
-0.001002,0.001104,-0.000097,1
0.001677,0.002437,0.000171,1
0.001677,0.002437,0.000171,1
0.00752,0.001872,-0.000277,1
0.00011,0.002038,-0.000829,1
0.010051,0.002196,-0.000421,1
-0.001165,0.001426,-0.001188,1
0.01428,0.001804,-0.000146,1
0.01428,0.001804,-0.000146,1
0.00817,0.00259,-0.001208,1
-0.000338,0.002372,-0.000432,1
0.003586,0.004497,0.001692,1
-0.004803,0.001731,-0.002477,0
-0.004162,0.001265,-0.001554,1
-0.003754,0.001145,-0.001466,1
0.002294,0.001416,-0.00146,1
0.000162,0.002302,-0.001264,1
0.001871,0.001522,-0.001424,1
-0.00195,0.001695,-0.00099,1
-0.000542,0.001284,-0.000241,1
-0.001256,0.001402,-0.000959,1
-0.001256,0.001402,-0.000959,1
-0.000115,0.001239,-0.001865,1
0.004915,0.001688,0.000178,1
0.000948,0.002141,-0.001977,1
-0.002752,0.000913,-0.002438,0
0.007052,0.002763,0.000182,1
-0.001196,0.001732,-0.00167,1
0.001018,0.001431,-0.001947,1
